timestamp,price_doc,price_log,month_number,resid
2011-08-31,5850000.0,15.581732993068384,1,-11355.052175386809
2011-09-30,6007329.538461538,15.46852553999971,2,99928.35342912562
2011-10-31,5808421.7323943665,15.327725113934282,3,-145025.5854950715
2011-11-30,6115835.405405405,15.414675740132552,4,116341.95465894137
2011-12-31,5824305.631799163,15.334194479507772,5,-221233.95180432592
2012-01-31,6884006.046692607,15.521542264899201,6,792420.3302320922
2012-02-29,6807455.648351648,15.46919574288873,7,669823.7990341075
2012-03-31,6765833.515789473,15.508526120073812,8,582155.5336149074
2012-04-30,6800688.856666666,15.496157274692523,9,570964.7416350748
2012-05-31,7226219.1683501685,15.533978934173712,10,950448.9204615513
2012-06-30,7134100.537604457,15.570139417899785,11,812284.156858813
2012-07-31,6311195.104859335,15.466876695188178,12,-56667.40874333307
2012-08-31,6163621.142857143,15.418313529051417,13,-250287.50360255223
2012-09-30,6401641.568807339,15.4966491062398,14,-58313.21050938126
2012-10-31,5765551.314341847,15.462196094498491,15,-740449.5978318993
2012-11-30,5749249.8160291435,15.457665414827153,16,-802797.2290016282
2012-12-31,5552361.251811594,15.406195315617097,17,-1045731.9260762036
2013-01-31,6394839.515151516,15.475104345261771,18,-249299.79559330735
2013-02-28,6238731.750902527,15.498873753013116,19,-451453.69269932155
2013-03-31,6598499.682642487,15.567258678889552,20,-137731.89381638728
2013-04-30,6483315.7318236,15.524423512028296,21,-298961.97749229986
2013-05-31,6084346.2481203005,15.516515601345784,22,-743977.5940526249
2013-06-30,6664574.728846154,15.576714420415366,23,-209795.2461837968
2013-07-31,6851886.652575958,15.580511729565922,24,-68529.45531101897
2013-08-31,6741660.099848714,15.571004567002287,25,-224802.14089528844
2013-09-30,6910704.102643857,15.597134857673007,26,-101804.27095717099
2013-10-31,6801978.6651735725,15.579645430687345,27,-256575.84128448088
2013-11-30,6833483.875545852,15.573035790825362,28,-271116.7637692271
2013-12-31,7164637.924778761,15.635065914550337,29,13991.152606656775
2014-01-31,7002025.926267281,15.613991421980906,30,-194666.97876184992
2014-02-28,7068843.131233596,15.622841383124499,31,-173895.90665255953
2014-03-31,7340741.450540316,15.638231174720339,32,51956.27979713399
2014-04-30,7659455.308641976,15.683429839714037,33,324624.0050417688
2014-05-31,7643710.068444445,15.674774128607034,34,262832.6319872113
2014-06-30,7144800.0837245695,15.626799953724104,35,-282123.4855896896
2014-07-31,7318232.471801925,15.649140970578964,36,-154737.23036935925
2014-08-31,7723494.08423586,15.674818432530541,37,204478.24920754973
2014-09-30,7849181.442359249,15.706786937226314,38,284119.4744739132
2014-10-31,7312297.421052632,15.637849380951867,39,-298810.6796897296
2014-11-30,7352391.439004815,15.653717533814161,40,-304762.7945945719
2014-12-31,7770915.869794722,15.700243019567198,41,67715.503338309
2015-01-31,8353574.733333333,15.780307667071481,42,604328.2340198951
2015-02-28,8083749.553971487,15.746221520226023,43,288456.9218010232
2015-03-31,8528728.703403566,15.773815837874103,44,687389.9383760765
2015-04-30,7977568.313492063,15.746048810245739,45,90183.41560754832
2015-05-31,8131346.767527675,15.740776470558849,46,197915.73678613454
2015-06-30,8062025.043583535,15.734626262246461,47,82547.87998496834
