id,price_doc
30474,1167171403.2
30475,6393063.7925
30476,1147958522.1
30477,1172726961
30478,2774080.5259
30479,1181710473.8
30480,1375750137
30481,727270529.17
30482,1152777582.6
30483,2402169.0189
30484,1179734258.8
30485,2157119.7135
30486,1174787154.3
30487,1171793849.1
30488,291436528.08
30489,647090034.7
30490,862784555.38
30491,1176618242
30492,1173438091.9
30493,1151784379.1
30494,3939622.3092
30495,1160747064.6
30496,524111511.58
30497,1203204599.6
30498,1150629186.9
30499,1159070614
30500,1182433947.8
30501,1154075148.3
30502,1174760047.4
30503,
30504,1163789048.5
30505,1181267319.3
30506,
30507,1041555901.8
30508,1027008352.5
30509,
30510,1180569762.8
30511,1154065535.9
30512,1163911661.2
30513,3866889.4805
30514,1176530367.2
30515,1181278443.6
30516,687147359.8
30517,1180268195.8
30518,1181744859.6
30519,1148748446.9
30520,1178448062.4
30521,1154452866.9
30522,902710964.07
30523,1153251834.6
30524,1171472003.4
30525,1157162873.5
30526,2904189.3613
30527,1177212153.2
30528,1166982173.5
30529,1151204698.1
30530,1149138553.9
30531,1177164786
30532,2027117.1231
30533,1158434818.7
30534,3059189.1261
30535,1180524078.3
30536,3999044.6699
30537,1168783040.2
30538,1147190748.8
30539,394834286.2
30540,1180245492.9
30541,1152823190.7
30542,
30543,1153194759.1
30544,1153768022.3
30545,1158836889.6
30546,3681399.2804
30547,1182118977
30548,1581416.3271
30549,1175225264.8
30550,1173791693.9
30551,1175421277.7
30552,
30553,1151051651.1
30554,1167720094.4
30555,1082388388.4
30556,1177962274.5
30557,
30558,1167250455.3
30559,1160307157.4
30560,1153079060.5
30561,1157589298.1
30562,705351422.2
30563,1117862330.8
30564,1151524565.2
30565,1174395680.6
30566,1178496612.4
30567,
30568,1166047891.3
30569,1173534208.1
30570,1162360524.4
30571,1179880393.6
30572,1031308682.6
30573,1178790933.7
30574,1154467368.7
30575,1599365518.6
30576,1083544668.8
30577,1151446378.9
30578,
30579,1156583430.5
30580,1155848931.1
30581,1156696099
30582,1154343051.4
30583,4783078.7526
30584,1148828952.9
30585,
30586,1181361509.8
30587,1136143947.1
30588,1170441007.8
30589,1156200330.3
30590,1163499879.5
30591,1149560550.2
30592,1150758093.2
30593,8705116.3939
30594,1181945272.8
30595,1147488767.6
30596,497984423.12
30597,1178685340.2
30598,1180479677
30599,1150246095.8
30600,654936525.33
30601,1153589666.4
30602,
30603,1182336959.1
30604,1152590950.7
30605,1177988630.9
30606,1178470166.4
30607,1151844901
30608,1180055760.2
30609,1161001498.4
30610,
30611,534704693.81
30612,1162959591
30613,1176254585.9
30614,1185533619
30615,1169956875.8
30616,1116904769.9
30617,1173987573.1
30618,1146901018.2
30619,412965729.98
30620,
30621,1154259700.2
30622,1155195466.2
30623,1151815924.8
30624,1175431314.8
30625,1052795252.1
30626,1149032085.6
30627,1155021361.5
30628,1178796276.4
30629,1151579033.8
30630,279141167.81
30631,767746964.34
30632,1176613784.6
30633,1171814835.2
30634,1169710148.2
30635,1180467814.4
30636,1168500792.8
30637,1181968775.8
30638,1152472792.9
30639,1153724154.9
30640,518748183.12
30641,1180346510.8
30642,1169981412.9
30643,1159106939.7
30644,1180489499.4
30645,1171095570.2
30646,1152880243.8
30647,
30648,1182075429.2
30649,
30650,1150299436.5
30651,
30652,1174638091.3
30653,975201385.7
30654,976663577.25
30655,1185573750.7
30656,1146488296.4
30657,1156302940.4
30658,884383267.46
30659,1002985483.3
30660,1170417500.3
30661,944041397.77
30662,1178128223.7
30663,1174093364.9
30664,1169560133.9
30665,1231778214.9
30666,
30667,
30668,
30669,1083742891.6
30670,-1358072.04
30671,1151791334.3
30672,1184586029.1
30673,1167003938.8
30674,1157120332.6
30675,
30676,1157224058.5
30677,1147186878
30678,1184469950.6
30679,1148568675.2
30680,258320336.27
30681,766916808.72
30682,1171411400.1
30683,1180580118.3
30684,
30685,5581625.9595
30686,1232081070.5
30687,1176143687.5
30688,1176619677.5
30689,1157306343.1
30690,1182792832.3
30691,1147174498.6
30692,1154129243.5
30693,1176534316.1
30694,1151693491.4
30695,1177069417.5
30696,1150942856.6
30697,1161563749
30698,1154101818.6
30699,1158012987.4
30700,2937559.2369
30701,1180498205.9
30702,1157445106.2
30703,1174559319.7
30704,1182255221.8
30705,1151445260.1
30706,1183201119.4
30707,
30708,1173102500.1
30709,1180142350.1
30710,1169947897.4
30711,1175654996
30712,
30713,1130862404.5
30714,1160702814
30715,1407164316.3
30716,1180581952.4
30717,1167180969.7
30718,1176250884.9
30719,1185199742.6
30720,1151037615.8
30721,1150791683.6
30722,1178501680.1
30723,1177265166.3
30724,1183046819.2
30725,1169673185.8
30726,1164136975.1
30727,1181476988.5
30728,
30729,
30730,1161330172.7
30731,1178630699.8
30732,1146042102
30733,
30734,1180015492.5
30735,3994258.5595
30736,1181040771
30737,1163469233.6
30738,1157921158.3
30739,-74902.14568
30740,1177381087.7
30741,1186649315.1
30742,705829609.17
30743,1175953432.6
30744,1179698240
30745,1157445966.8
30746,4017772.6597
30747,1152075214.1
30748,1184532175.3
30749,1145973360.8
30750,1178589711.6
30751,1170209333.2
30752,1183159304.6
30753,1180502374.2
30754,1148442417
30755,
30756,1072397572.8
30757,1158978019.9
30758,1154064251.9
30759,1153559586
30760,
30761,1159727502.8
30762,1076006096.8
30763,1181135964.3
30764,1177822079.6
30765,1168140538.1
30766,1207487143.2
30767,1492747721.2
30768,1147009702.8
30769,1171087851.4
30770,1063613537.5
30771,1174571987.8
30772,1169003147.2
30773,7551408.9074
30774,1178279959.3
30775,1173880126.5
30776,1160134587.7
30777,1178528241.6
30778,1155281121.5
30779,1153724400.8
30780,1155264913.2
30781,1179641066.5
30782,1165409573.4
30783,986211334.86
30784,528247406.97
30785,1147380852.7
30786,3655011.8394
30787,5651394.5633
30788,3855057.3867
30789,1162640873.9
30790,1153135029.2
30791,1182039567.4
30792,1180051973.5
30793,1182738882.5
30794,1177210785.1
30795,1173271956.1
30796,1174071809.3
30797,1183291139.1
30798,1772497.2517
30799,1155231207.4
30800,1154762395.1
30801,869271271.29
30802,1184074107.6
30803,
30804,1175630677
30805,1151729713.7
30806,1180036232.7
30807,1153565515.9
30808,1179677319.7
30809,1175389106.2
30810,1159808154.9
30811,1837698.4527
30812,1150359714.3
30813,1153836331.6
30814,1284612225.4
30815,1172252902.4
30816,1161528790.6
30817,
30818,1162821579.9
30819,1174554688.9
30820,1153836958.8
30821,1173507614.7
30822,1158990745
30823,1179769174.9
30824,1174287348.5
30825,4818338.3111
30826,977514767.61
30827,1179491255.5
30828,1162334719.9
30829,1150065886.4
30830,1179889676.9
30831,900259730.82
30832,1167884309.4
30833,1154116900.6
30834,1174626169.7
30835,1156803366.3
30836,1177491074.6
30837,3739244.0686
30838,1149163653.3
30839,1150742140.8
30840,1167663174.9
30841,1158377576.9
30842,1164543968.5
30843,1152411063.6
30844,1181962947.3
30845,1159013094.6
30846,1176792869.2
30847,1153774382
30848,6551641.5099
30849,
30850,1245928745.9
30851,
30852,1175272653.1
30853,1177233086.7
30854,1171548141.2
30855,
30856,1172071588.1
30857,1173872879.6
30858,1225458294.7
30859,1363529179.6
30860,1156426370.4
30861,1180591621
30862,1148918315.6
30863,1181254246.8
30864,1149243048.3
30865,1182101753.3
30866,756183871.81
30867,1154167460.4
30868,1160514260
30869,
30870,1149255380.5
30871,1149599593.4
30872,576463076.36
30873,
30874,
30875,1162062465.4
30876,3494718.6613
30877,1148592554.6
30878,527485939.9
30879,10575970.489
30880,5662922.5639
30881,
30882,1234703388.3
30883,1149423933.4
30884,1330088281.3
30885,1169978147.8
30886,1179870391.9
30887,1154422542.7
30888,3583886.0866
30889,1151367076.9
30890,1152647277.8
30891,855003916.22
30892,883290729.98
30893,1574027002.8
30894,1152379237.8
30895,2037841.2477
30896,1180749520.6
30897,1157912513.9
30898,1178350446.3
30899,1180018951.1
30900,1175058306
30901,1157698522.9
30902,
30903,1179889162.9
30904,1168549970.6
30905,597962276.51
30906,1169472464.8
30907,1176726025.3
30908,1176556647.1
30909,
30910,5906396.3227
30911,1171891656.3
30912,1164616087.9
30913,1185075778.8
30914,1155001429.9
30915,1154489400.5
30916,
30917,1155458807.3
30918,1169536997.8
30919,
30920,1170571541
30921,1178072607.7
30922,1150510071.6
30923,562382082.61
30924,949451696.02
30925,1139569178.6
30926,1180551878.6
30927,1154677060.8
30928,1153186225.6
30929,821738437.24
30930,1162848922.5
30931,1153830811.1
30932,1152439902.3
30933,1172718490.2
30934,1177665109
30935,1178345226.7
30936,1180047101.2
30937,6376736.1743
30938,369946.24768
30939,1004934905.3
30940,1178856180
30941,1158174736.3
30942,1341700.8512
30943,1177607687.8
30944,907786850.59
30945,1169190849.9
30946,
30947,914865541.86
30948,1171093071.3
30949,3982461.0691
30950,1154156617.5
30951,1186246299.9
30952,1229611595.9
30953,1167587060.1
30954,1176057441.5
30955,1152109814.5
30956,9784349.3481
30957,1156034698.8
30958,1184668623.2
30959,1158776138.7
30960,1167829937.1
30961,1159224112.6
30962,1155435262.5
30963,1236489855
30964,1152847884
30965,4671047.666
30966,1147817021.9
30967,1150168962.4
30968,1177212698.2
30969,
30970,997162986.09
30971,
30972,
30973,
30974,2843713.7627
30975,
30976,1176014986.6
30977,1181430183
30978,1160164576.5
30979,471806796.73
30980,1377831070.3
30981,1910849584.8
30982,1178938411.4
30983,
30984,1314088124.8
30985,821870034.45
30986,1180627930.8
30987,1174404920.1
30988,1155461007.5
30989,1156803031.8
30990,1166970400.8
30991,
30992,
30993,1150332190.5
30994,1147620000.5
30995,1153869323.4
30996,4029872.7814
30997,1201198746.3
30998,1150826695.2
30999,1168384236
31000,1152335232.3
31001,1163287861.4
31002,1135633963.4
31003,1145721449
31004,1004245878.2
31005,1176147991.4
31006,1181088091.7
31007,1175201369.6
31008,1177873317
31009,1162491788.5
31010,1153307407.1
31011,1094019498.3
31012,942109050.93
31013,1179336251.5
31014,1178717589.5
31015,1158999425.2
31016,1005596259.5
31017,1180422140.5
31018,1159779334.9
31019,1175059104.3
